id,code,name,account_type,chart_template_id:id,reconcile
111001_account_Muhlhel,111001,Agricultural Lands,asset_fixed,account_arabic_coa_general,FALSE
111002_account_Muhlhel,111002,Buildings,asset_fixed,account_arabic_coa_general,FALSE
112001_account_Muhlhel,112001,Cars,asset_fixed,account_arabic_coa_general,FALSE
112002_account_Muhlhel,112002,Trucks,asset_fixed,account_arabic_coa_general,FALSE
113001_account_Muhlhel,113001,Furnitures,asset_fixed,account_arabic_coa_general,FALSE
113002_account_Muhlhel,113002,Special Equipments,asset_fixed,account_arabic_coa_general,FALSE
113003_account_Muhlhel,113003,Electrical and Electronic Devices,asset_fixed,account_arabic_coa_general,FALSE
113004_account_Muhlhel,113004,Hardware and Software,asset_fixed,account_arabic_coa_general,FALSE
114001_account_Muhlhel,114001,Accum Buildings,asset_fixed,account_arabic_coa_general,FALSE
114002_account_Muhlhel,114002,Accum Cars,asset_fixed,account_arabic_coa_general,FALSE
114003_account_Muhlhel,114003,Accum Furniture,asset_fixed,account_arabic_coa_general,FALSE
114004_account_Muhlhel,114004,Accum Machines and equipments,asset_fixed,account_arabic_coa_general,FALSE
114005_account_Muhlhel,114005,Accum Electrical and electronic devices,asset_fixed,account_arabic_coa_general,FALSE
114006_account_Muhlhel,114006,Accum Computer and software,asset_fixed,account_arabic_coa_general,FALSE
115001_account_Muhlhel,115001,Famous brand,asset_fixed,account_arabic_coa_general,FALSE
115002_account_Muhlhel,115002,Patents,asset_fixed,account_arabic_coa_general,FALSE
115003_account_Muhlhel,115003,Trademarks,asset_fixed,account_arabic_coa_general,FALSE
115004_account_Muhlhel,115004,Software and System,asset_fixed,account_arabic_coa_general,FALSE
116001_account_Muhlhel,116001,Organization Expense,asset_fixed,account_arabic_coa_general,FALSE
116002_account_Muhlhel,116002,Advertising and Promotion,asset_fixed,account_arabic_coa_general,FALSE
117001_account_Muhlhel,117001,Deferred Income Tax ,asset_fixed,account_arabic_coa_general,FALSE
121102_account_Muhlhel,121102,Foreign Currency Cach,liquidity,account_arabic_coa_general,FALSE
121202_account_Muhlhel,121202,Foreign Currency Bank,liquidity,account_arabic_coa_general,FALSE
121301_account_Muhlhel,121301,PayPal,credit_card,account_arabic_coa_general,FALSE
121302_account_Muhlhel,121302,Visa Card,credit_card,account_arabic_coa_general,FALSE
121303_account_Muhlhel,121303,Master Card,credit_card,account_arabic_coa_general,FALSE
122001_account_Muhlhel,122001,(INV) RAW Materials,current_assets,account_arabic_coa_general,FALSE
122002_account_Muhlhel,122002,(INV)  Ready Made Materials,current_assets,account_arabic_coa_general,FALSE
122003_account_Muhlhel,122003,(INV) Transfer RAW,current_assets,account_arabic_coa_general,FALSE
122004_account_Muhlhel,122004,(INV) Transfer Products,current_assets,account_arabic_coa_general,FALSE
122005_account_Muhlhel,122005,(INV) Transfer Stock Production,current_assets,account_arabic_coa_general,FALSE
123001_account_Muhlhel,123001,Receivables Accounts,receivable,account_arabic_coa_general,TRUE
123002_account_Muhlhel,123002,Employees Imprest,receivable,account_arabic_coa_general,TRUE
123003_account_Muhlhel,123003,Branches Company,receivable,account_arabic_coa_general,TRUE
123004_account_Muhlhel,123004,Reimbursable Income taxes,current_assets,account_arabic_coa_general,TRUE
123005_account_Muhlhel,123005,Reimbursable outcome taxes,current_assets,account_arabic_coa_general,TRUE
123006_account_Muhlhel,123006,Accounts Payable with Debit Balances,receivable,account_arabic_coa_general,TRUE
123007_account_Muhlhel,123007,Other Receivables,receivable,account_arabic_coa_general,TRUE
124001_account_Muhlhel,124001,Prepaid Rents,current_assets,account_arabic_coa_general,FALSE
124002_account_Muhlhel,124002,Prepaid Wages,current_assets,account_arabic_coa_general,FALSE
125001_account_Muhlhel,125001,Profit on others,receivable,account_arabic_coa_general,TRUE
211001_account_Muhlhel,211001,Owners share 1,equity,account_arabic_coa_general,FALSE
211002_account_Muhlhel,211002,Owners share 2,equity,account_arabic_coa_general,FALSE
221001_account_Muhlhel,221001,Owners Profits 1,equity,account_arabic_coa_general,FALSE
221002_account_Muhlhel,221002,Owners Profits 2,equity,account_arabic_coa_general,FALSE
222001_account_Muhlhel,222001,Profits and Losses Current year,unaffected_earnings,account_arabic_coa_general,FALSE
